TYPE;STATUT;ADRESSE;ARRONDISSEMENT;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d
SANISETTE;;RUE COQUILLIERE;75001;6 h - 1 h;Oui;;;"{""coordinates"": [[2.342472298693307, 48.86354740097733]], ""type"": ""MultiPoint""}";48.86354740097733, 2.342472298693307
SANISETTE;;2  RUE DES QUATRE FILS;75003;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3607006873977197, 48.86005986602799]], ""type"": ""MultiPoint""}";48.86005986602799, 2.3607006873977197
SANISETTE;;79  BOULEVARD DU TEMPLE;75003;24 h / 24;Oui;;;"{""coordinates"": [[2.3663055271101103, 48.86355463067632]], ""type"": ""MultiPoint""}";48.86355463067632, 2.3663055271101103
SANISETTE;;115  RUE SAINT MARTIN;75004;24 h / 24;Oui;;;"{""coordinates"": [[2.3511711256542727, 48.860523841578605]], ""type"": ""MultiPoint""}";48.860523841578605, 2.3511711256542727
SANISETTE;;26  RUE BUFFON;75005;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3562246831176674, 48.84130804975426]], ""type"": ""MultiPoint""}";48.84130804975426, 2.3562246831176674
SANISETTE;;17  RUE DU FOUR;75006;24 h / 24;Oui;;;"{""coordinates"": [[2.334590272454293, 48.852721986820754]], ""type"": ""MultiPoint""}";48.852721986820754, 2.334590272454293
SANISETTE;;25  BOULEVARD DE LA VILLETTE;75010;6 h - 22 h;Oui;;;"{""coordinates"": [[2.375281769902471, 48.87348074198407]], ""type"": ""MultiPoint""}";48.87348074198407, 2.375281769902471
SANISETTE;;RUE DU FAUBOURG SAINT MARTIN;75010;24 h / 24;Oui;;;"{""coordinates"": [[2.3604635760802273, 48.875749513351394]], ""type"": ""MultiPoint""}";48.875749513351394, 2.3604635760802273
SANISETTE;;164  BOULEVARD VOLTAIRE;75011;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3835533972531318, 48.855643765234234]], ""type"": ""MultiPoint""}";48.855643765234234, 2.3835533972531318
SANISETTE;;179  AVENUE DAUMESNIL;75012;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3920403748751715, 48.84052542867198]], ""type"": ""MultiPoint""}";48.84052542867198, 2.3920403748751715
SANISETTE;;259 bis AVENUE DAUMESNIL;75012;6 h - 22 h;Oui;;;"{""coordinates"": [[2.4043941454836406, 48.836513686222645]], ""type"": ""MultiPoint""}";48.836513686222645, 2.4043941454836406
SANISETTE;;27  AVENUE D IVRY;75013;6 h - 22 h;Oui;;;"{""coordinates"": [[2.366856434532836, 48.82266348081884]], ""type"": ""MultiPoint""}";48.82266348081884, 2.366856434532836
SANISETTE;;5  BOULEVARD KELLERMANN;75013;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3575912185485546, 48.81897694760632]], ""type"": ""MultiPoint""}";48.81897694760632, 2.3575912185485546
